"Isolation","Trait","Observed","Expected","Percent","Count","Pvalue","Sig","TraitDiff","Direction","AbsDiff"
"Pathogenic","Ribitol",55,55.6159,0.4787,6740,0.674,0,-0.615900000000003,"Random",0.615900000000003
"Pathogenic","Galactitol",17,16.7642,0.6684,5560,0.556,0,0.235800000000001,"Random",0.235800000000001
"Pathogenic","D-Mannitol",68,68.8979,0.4176,7693,0.7693,0,-0.897900000000007,"Random",0.897900000000007
"Pathogenic","D-Glucitol",69,69.4985,0.5017,7005,0.7005,0,-0.498500000000007,"Random",0.498500000000007
"Pathogenic","myo-Inositol",9,9.5024,0.5141,7173,0.7173,0,-0.5024,"Random",0.5024
"Pathogenic","DL-Lactate",49,47.8079,0.6868,4188,0.4188,0,1.1921,"Random",1.1921
"Pathogenic","Succinate",78,76.4602,0.8526,3028,0.3028,0,1.5398,"Random",1.5398
"Pathogenic","Citrate",65,62.2084,0.9014,1880,0.188,0,2.7916,"Random",2.7916
"Pathogenic","D-Gluconate",64,61.1462,0.901,1908,0.1908,0,2.8538,"Random",2.8538
"Pathogenic","D-Glucosamine",38,37.8925,0.5972,5576,0.5576,0,0.107500000000002,"Random",0.107500000000002
"Pathogenic","Nitrate",11,12.5942,0.3187,8298,0.8298,0,-1.5942,"Random",1.5942
"Pathogenic","Vitamin-free",18,17.7305,0.6296,5314,0.5314,0,0.269500000000001,"Random",0.269500000000001
"Pathogenic","2-Keto-D-gluconate",44,44.245,0.5369,6070,0.607,0,-0.244999999999997,"Random",0.244999999999997
"Pathogenic","Starch formation",0,0.9244,0.3858,10000,1,0,-0.9244,"Random",0.9244
"Pathogenic","Growth at 19°C",89,88.9452,1,9463,0.9463,0,0.0548000000000002,"Random",0.0548000000000002
"Pathogenic","Growth at 25°C",89,88.9345,1,9363,0.9363,0,0.0655000000000001,"Random",0.0655000000000001
"Pathogenic","Growth at 30°C",86,85.7608,0.6884,5997,0.5997,0,0.239199999999997,"Random",0.239199999999997
"Pathogenic","Growth at 37°C",66,56.9911,0.9975,47,0.0047,1,9.0089,"Positive",9.0089
"Clinical","Glucose_F",10,9.7432,0.8778,6821,0.6821,0,0.2568,"Random",0.2568
"Clinical","Galactose_F",6,5.9762,0.7396,7218,0.7218,0,0.0237999999999996,"Random",0.0237999999999996
"Clinical","Sucrose_F",7,6.3827,0.8782,4808,0.4808,0,0.6173,"Random",0.6173
"Clinical","Maltose_F",5,4.6953,0.8147,5999,0.5999,0,0.3047,"Random",0.3047
"Clinical","Lactose_F",0,0.0605,0.941,10000,1,0,-0.0605,"Random",0.0605
"Clinical","Raffinose_F",3,3.0468,0.7239,7458,0.7458,0,-0.0468000000000002,"Random",0.0468000000000002
"Clinical","Trehalose_F",6,5.847,0.7583,6541,0.6541,0,0.153,"Random",0.153
"Clinical","Inulin",1,1.3575,0.6642,9548,0.9548,0,-0.3575,"Random",0.3575
"Clinical","Sucrose",9,8.7257,0.8744,6657,0.6657,0,0.2743,"Random",0.2743
"Clinical","Raffinose",5,4.9657,0.715,6867,0.6867,0,0.0343,"Random",0.0343
"Clinical","Melibiose",2,2.206,0.7223,8834,0.8834,0,-0.206,"Random",0.206
"Clinical","Galactose",9,9.0054,0.7246,7519,0.7519,0,-0.00539999999999985,"Random",0.00539999999999985
"Clinical","Lactose",1,1.3481,0.652,9246,0.9246,0,-0.3481,"Random",0.3481
"Clinical","Trehalose",9,8.973,0.8119,7958,0.7958,0,0.0269999999999992,"Random",0.0269999999999992
"Clinical","Maltose",9,8.6967,0.8881,6617,0.6617,0,0.3033,"Random",0.3033
"Clinical","Melezitose",9,8.4002,0.937,5052,0.5052,0,0.5998,"Random",0.5998
"Clinical","Methyl-?-D-glucoside",8,7.7906,0.8388,6840,0.684,0,0.2094,"Random",0.2094
"Clinical","Soluble Starch",4,3.9097,0.7465,6769,0.6769,0,0.0903,"Random",0.0903
"Clinical","Cellobiose",7,7.5117,0.5069,8635,0.8635,0,-0.5117,"Random",0.5117
"Clinical","Salicin",7,7.4981,0.5121,8565,0.8565,0,-0.4981,"Random",0.4981
"Clinical","L-Sorbose",6,6.878,0.3729,8927,0.8927,0,-0.878,"Random",0.878
"Clinical","L-Rhamnose",4,4.0643,0.7006,7361,0.7361,0,-0.0643000000000002,"Random",0.0643000000000002
"Clinical","D-Xylose",9,9.049,0.7448,8000,0.8,0,-0.0489999999999995,"Random",0.0489999999999995
"Clinical","L-Arabinose",5,5.3082,0.5999,8118,0.8118,0,-0.3082,"Random",0.3082
"Clinical","D-Arabinose",3,3.6567,0.4713,9236,0.9236,0,-0.6567,"Random",0.6567
"Clinical","D-Ribose",7,6.9724,0.7442,7341,0.7341,0,0.0275999999999996,"Random",0.0275999999999996
"Clinical","Methanol",0,0.4895,0.6012,10000,1,0,-0.4895,"Random",0.4895
"Clinical","Ethanol",10,10.1732,0.6929,8749,0.8749,0,-0.1732,"Random",0.1732
"Clinical","Glycerol",11,10.8107,1,8227,0.8227,0,0.189299999999999,"Random",0.189299999999999
"Clinical","Erythritol",2,2.8176,0.4136,9388,0.9388,0,-0.8176,"Random",0.8176
"Clinical","Ribitol",9,8.9289,0.7602,7312,0.7312,0,0.0710999999999995,"Random",0.0710999999999995
"Clinical","Galactitol",2,2.1798,0.735,8758,0.8758,0,-0.1798,"Random",0.1798
"Clinical","D-Mannitol",10,9.9503,0.8774,8397,0.8397,0,0.0496999999999996,"Random",0.0496999999999996
"Clinical","D-Glucitol",10,9.9365,0.8796,8306,0.8306,0,0.0634999999999994,"Random",0.0634999999999994
"Clinical","myo-Inositol",0,0.4326,0.6403,10000,1,0,-0.4326,"Random",0.4326
"Clinical","DL-Lactate",7,7.0837,0.6346,6943,0.6943,0,-0.0837000000000003,"Random",0.0837000000000003
"Clinical","Succinate",11,10.6722,1,7157,0.7157,0,0.3278,"Random",0.3278
"Clinical","Citrate",11,10.1466,1,3958,0.3958,0,0.853400000000001,"Random",0.853400000000001
"Clinical","D-Gluconate",10,9.4038,0.956,5197,0.5197,0,0.5962,"Random",0.5962
"Clinical","D-Glucosamine",7,6.6942,0.7844,5884,0.5884,0,0.3058,"Random",0.3058
"Clinical","Nitrate",2,2.2072,0.663,7946,0.7946,0,-0.2072,"Random",0.2072
"Clinical","Vitamin-free",3,3.0254,0.7115,7103,0.7103,0,-0.0253999999999999,"Random",0.0253999999999999
"Clinical","2-Keto-D-gluconate",7,7.0691,0.6709,7352,0.7352,0,-0.0690999999999997,"Random",0.0690999999999997
"Clinical","Starch formation",0,0.1488,0.8607,10000,1,0,-0.1488,"Random",0.1488
"Clinical","Growth at 19°C",11,10.9952,1,9952,0.9952,0,0.00479999999999947,"Random",0.00479999999999947
"Clinical","Growth at 25°C",11,10.9941,1,9941,0.9941,0,0.00590000000000046,"Random",0.00590000000000046
"Clinical","Growth at 30°C",11,10.881,1,8874,0.8874,0,0.119,"Random",0.119
"Clinical","Growth at 37°C",10,8.8909,0.9531,3075,0.3075,0,1.1091,"Random",1.1091
"Rotting.Decaying","Glucose_F",69,70.7091,0.3296,7851,0.7851,0,-1.70910000000001,"Random",1.70910000000001
"Rotting.Decaying","Galactose_F",29,30.7679,0.3233,7938,0.7938,0,-1.7679,"Random",1.7679
"Rotting.Decaying","Sucrose_F",18,20.709,0.2129,8801,0.8801,0,-2.709,"Random",2.709
"Rotting.Decaying","Maltose_F",17,18.5661,0.314,8331,0.8331,0,-1.5661,"Random",1.5661
"Rotting.Decaying","Lactose_F",0,0.3739,0.6818,10000,1,0,-0.3739,"Random",0.3739
"Rotting.Decaying","Raffinose_F",9,10.8774,0.2862,8493,0.8493,0,-1.8774,"Random",1.8774
"Rotting.Decaying","Trehalose_F",34,33.7224,0.6132,5346,0.5346,0,0.2776,"Random",0.2776
"Rotting.Decaying","Inulin",5,6.7187,0.2622,8924,0.8924,0,-1.7187,"Random",1.7187
"Rotting.Decaying","Sucrose",52,54.3301,0.2608,8439,0.8439,0,-2.3301,"Random",2.3301
"Rotting.Decaying","Raffinose",21,23.2996,0.2552,8505,0.8505,0,-2.2996,"Random",2.2996
"Rotting.Decaying","Melibiose",9,9.8304,0.4478,7477,0.7477,0,-0.830399999999999,"Random",0.830399999999999
"Rotting.Decaying","Galactose",59,61.4564,0.2542,8425,0.8425,0,-2.4564,"Random",2.4564
"Rotting.Decaying","Lactose",15,14.5539,0.6962,5100,0.51,0,0.446099999999999,"Random",0.446099999999999
"Rotting.Decaying","Trehalose",67,67.7626,0.4573,6977,0.6977,0,-0.762600000000006,"Random",0.762600000000006
"Rotting.Decaying","Maltose",50,52.1964,0.2647,8418,0.8418,0,-2.1964,"Random",2.1964
"Rotting.Decaying","Melezitose",40,41.9101,0.3092,8056,0.8056,0,-1.9101,"Random",1.9101
"Rotting.Decaying","Methyl-?-D-glucoside",45,46.0237,0.4254,7178,0.7178,0,-1.0237,"Random",1.0237
"Rotting.Decaying","Soluble Starch",22,21.6667,0.6449,5262,0.5262,0,0.333300000000001,"Random",0.333300000000001
"Rotting.Decaying","Cellobiose",67,65.0939,0.8067,3074,0.3074,0,1.9061,"Random",1.9061
"Rotting.Decaying","Salicin",67,65.0447,0.812,2990,0.299,0,1.95529999999999,"Random",1.95529999999999
"Rotting.Decaying","L-Sorbose",58,56.7111,0.7173,4008,0.4008,0,1.2889,"Random",1.2889
"Rotting.Decaying","L-Rhamnose",27,25.109,0.815,2991,0.2991,0,1.891,"Random",1.891
"Rotting.Decaying","D-Xylose",78,74.9906,0.919,1609,0.1609,0,3.0094,"Random",3.0094
"Rotting.Decaying","L-Arabinose",39,37.7489,0.7417,3954,0.3954,0,1.2511,"Random",1.2511
"Rotting.Decaying","D-Arabinose",39,35.5738,0.925,1406,0.1406,0,3.4262,"Random",3.4262
"Rotting.Decaying","D-Ribose",40,40.7597,0.4665,6747,0.6747,0,-0.759700000000002,"Random",0.759700000000002
"Rotting.Decaying","Methanol",13,10.8598,0.8936,2160,0.216,0,2.1402,"Random",2.1402
"Rotting.Decaying","Ethanol",92,89.9585,0.9238,2063,0.2063,0,2.0415,"Random",2.0415
"Rotting.Decaying","Glycerol",90,89.4318,0.7195,4997,0.4997,0,0.568200000000004,"Random",0.568200000000004
"Rotting.Decaying","Erythritol",28,28.0307,0.5766,5798,0.5798,0,-0.0306999999999995,"Random",0.0306999999999995
"Rotting.Decaying","Ribitol",58,58.5168,0.4955,6529,0.6529,0,-0.516800000000003,"Random",0.516800000000003
"Rotting.Decaying","Galactitol",11,11.4977,0.5197,7039,0.7039,0,-0.4977,"Random",0.4977
"Rotting.Decaying","D-Mannitol",77,77.3988,0.5195,6727,0.6727,0,-0.398799999999994,"Random",0.398799999999994
"Rotting.Decaying","D-Glucitol",72,73.388,0.3456,8111,0.8111,0,-1.38800000000001,"Random",1.38800000000001
"Rotting.Decaying","myo-Inositol",12,11.2251,0.7675,4342,0.4342,0,0.774900000000001,"Random",0.774900000000001
"Rotting.Decaying","DL-Lactate",52,50.0649,0.7404,3523,0.3523,0,1.9351,"Random",1.9351
"Rotting.Decaying","Succinate",90,87.4195,0.9289,1681,0.1681,0,2.5805,"Random",2.5805
"Rotting.Decaying","Citrate",68,65.7242,0.8276,2703,0.2703,0,2.2758,"Random",2.2758
"Rotting.Decaying","D-Gluconate",49,51.9656,0.1962,8832,0.8832,0,-2.9656,"Random",2.9656
"Rotting.Decaying","D-Glucosamine",46,43.3036,0.8758,2114,0.2114,0,2.6964,"Random",2.6964
"Rotting.Decaying","Nitrate",14,14.2535,0.5531,6289,0.6289,0,-0.253500000000001,"Random",0.253500000000001
"Rotting.Decaying","Vitamin-free",14,14.424,0.5211,6426,0.6426,0,-0.423999999999999,"Random",0.423999999999999
"Rotting.Decaying","2-Keto-D-gluconate",46,45.7791,0.5981,5409,0.5409,0,0.2209,"Random",0.2209
"Rotting.Decaying","Starch formation",3,2.593,0.8048,5163,0.5163,0,0.407,"Random",0.407
"Rotting.Decaying","Growth at 19°C",98,97.934,1,9352,0.9352,0,0.0660000000000025,"Random",0.0660000000000025
"Rotting.Decaying","Growth at 25°C",98,97.9268,1,9287,0.9287,0,0.0731999999999999,"Random",0.0731999999999999
"Rotting.Decaying","Growth at 30°C",91,91.782,0.4231,7897,0.7897,0,-0.781999999999996,"Random",0.781999999999996
"Rotting.Decaying","Growth at 37°C",49,47.0165,0.7581,3393,0.3393,0,1.9835,"Random",1.9835
"Spoiled","Glucose_F",12,12.2337,0.5691,7188,0.7188,0,-0.233700000000001,"Random",0.233700000000001
"Spoiled","Galactose_F",2,3.0986,0.328,9254,0.9254,0,-1.0986,"Random",1.0986
"Spoiled","Sucrose_F",5,4.6283,0.7765,5352,0.5352,0,0.3717,"Random",0.3717
"Spoiled","Maltose_F",1,1.5531,0.5189,8863,0.8863,0,-0.5531,"Random",0.5531
"Spoiled","Lactose_F",1,0.6833,0.9705,6535,0.6535,0,0.3167,"Random",0.3167
"Spoiled","Raffinose_F",3,3.0499,0.7246,7432,0.7432,0,-0.0499000000000001,"Random",0.0499000000000001
"Spoiled","Trehalose_F",4,4.3834,0.5713,8189,0.8189,0,-0.3834,"Random",0.3834
"Spoiled","Inulin",1,1.2586,0.6854,8793,0.8793,0,-0.2586,"Random",0.2586
"Spoiled","Sucrose",9,8.9129,0.7303,6698,0.6698,0,0.0870999999999995,"Random",0.0870999999999995
"Spoiled","Raffinose",6,5.5255,0.822,5127,0.5127,0,0.4745,"Random",0.4745
"Spoiled","Melibiose",4,3.7244,0.8602,6423,0.6423,0,0.2756,"Random",0.2756
"Spoiled","Galactose",11,10.5547,0.8256,5421,0.5421,0,0.4453,"Random",0.4453
"Spoiled","Lactose",4,3.602,0.8827,5742,0.5742,0,0.398,"Random",0.398
"Spoiled","Trehalose",8,8.5324,0.5158,8699,0.8699,0,-0.532400000000001,"Random",0.532400000000001
"Spoiled","Maltose",7,7.3476,0.5961,8345,0.8345,0,-0.3476,"Random",0.3476
"Spoiled","Melezitose",6,6.3417,0.5828,8115,0.8115,0,-0.3417,"Random",0.3417
"Spoiled","Methyl-?-D-glucoside",7,7.0408,0.7203,7426,0.7426,0,-0.0407999999999999,"Random",0.0407999999999999
"Spoiled","Soluble Starch",4,3.9843,0.7505,7303,0.7303,0,0.0156999999999998,"Random",0.0156999999999998
"Spoiled","Cellobiose",9,8.9124,0.7104,6462,0.6462,0,0.0876000000000001,"Random",0.0876000000000001
"Spoiled","Salicin",9,8.8921,0.7252,6425,0.6425,0,0.107900000000001,"Random",0.107900000000001
"Spoiled","L-Sorbose",10,9.3444,0.8341,4651,0.4651,0,0.6556,"Random",0.6556
"Spoiled","L-Rhamnose",2,2.5768,0.5039,8855,0.8855,0,-0.5768,"Random",0.5768
"Spoiled","D-Xylose",9,9.3862,0.55,8030,0.803,0,-0.386200000000001,"Random",0.386200000000001
"Spoiled","L-Arabinose",7,6.6253,0.8167,5636,0.5636,0,0.3747,"Random",0.3747
"Spoiled","D-Arabinose",6,5.6769,0.8023,5778,0.5778,0,0.3231,"Random",0.3231
"Spoiled","D-Ribose",6,6.2087,0.6457,7883,0.7883,0,-0.2087,"Random",0.2087
"Spoiled","Methanol",1,1.2345,0.7038,8805,0.8805,0,-0.2345,"Random",0.2345
"Spoiled","Ethanol",15,14.5737,0.9204,6026,0.6026,0,0.426299999999999,"Random",0.426299999999999
"Spoiled","Glycerol",15,14.683,0.9043,6618,0.6618,0,0.317,"Random",0.317
"Spoiled","Erythritol",5,5.0272,0.7214,7372,0.7372,0,-0.0271999999999997,"Random",0.0271999999999997
"Spoiled","Ribitol",10,9.8888,0.7072,6473,0.6473,0,0.1112,"Random",0.1112
"Spoiled","Galactitol",5,4.4676,0.9207,5270,0.527,0,0.5324,"Random",0.5324
"Spoiled","D-Mannitol",11,11.5607,0.4766,8685,0.8685,0,-0.560700000000001,"Random",0.560700000000001
"Spoiled","D-Glucitol",11,11.5013,0.5007,8538,0.8538,0,-0.501300000000001,"Random",0.501300000000001
"Spoiled","myo-Inositol",1,1.1762,0.7398,8693,0.8693,0,-0.1762,"Random",0.1762
"Spoiled","DL-Lactate",10,8.7671,0.8915,3108,0.3108,0,1.2329,"Random",1.2329
"Spoiled","Succinate",13,12.8331,0.771,6635,0.6635,0,0.1669,"Random",0.1669
"Spoiled","Citrate",8,8.4668,0.5083,7846,0.7846,0,-0.466799999999999,"Random",0.466799999999999
"Spoiled","D-Gluconate",7,7.6048,0.4795,8207,0.8207,0,-0.6048,"Random",0.6048
"Spoiled","D-Glucosamine",5,5.1435,0.6219,6931,0.6931,0,-0.1435,"Random",0.1435
"Spoiled","Nitrate",2,2.1252,0.6915,7549,0.7549,0,-0.1252,"Random",0.1252
"Spoiled","Vitamin-free",1,1.3337,0.6033,7911,0.7911,0,-0.3337,"Random",0.3337
"Spoiled","2-Keto-D-gluconate",5,5.6408,0.4712,8372,0.8372,0,-0.6408,"Random",0.6408
"Spoiled","Starch formation",0,0.1416,0.8663,10000,1,0,-0.1416,"Random",0.1416
"Spoiled","Growth at 19°C",17,16.9878,1,9878,0.9878,0,0.0122,"Random",0.0122
"Spoiled","Growth at 25°C",17,16.9863,1,9863,0.9863,0,0.0137,"Random",0.0137
"Spoiled","Growth at 30°C",16,15.8449,0.8575,7462,0.7462,0,0.155099999999999,"Random",0.155099999999999
"Spoiled","Growth at 37°C",12,9.9334,0.9674,1490,0.149,0,2.0666,"Random",2.0666
"Plant.Pathogen","Glucose_F",18,17.0044,0.8782,3709,0.3709,0,0.9956,"Random",0.9956
"Plant.Pathogen","Galactose_F",11,9.6251,0.9234,2677,0.2677,0,1.3749,"Random",1.3749
"Plant.Pathogen","Sucrose_F",8,6.8754,0.8916,3257,0.3257,0,1.1246,"Random",1.1246
"Plant.Pathogen","Maltose_F",6,5.2297,0.8671,4141,0.4141,0,0.7703,"Random",0.7703
"Plant.Pathogen","Lactose_F",1,0.7974,0.9602,7569,0.7569,0,0.2026,"Random",0.2026
"Plant.Pathogen","Raffinose_F",7,5.4467,0.9435,2145,0.2145,0,1.5533,"Random",1.5533
"Plant.Pathogen","Trehalose_F",8,7.3531,0.8187,4639,0.4639,0,0.6469,"Random",0.6469
"Plant.Pathogen","Inulin",3,2.7363,0.8098,6089,0.6089,0,0.2637,"Random",0.2637
"Plant.Pathogen","Sucrose",14,13.2876,0.8146,4454,0.4454,0,0.712400000000001,"Random",0.712400000000001
"Plant.Pathogen","Raffinose",8,6.8965,0.8759,3373,0.3373,0,1.1035,"Random",1.1035
"Plant.Pathogen","Melibiose",1,1.3615,0.6252,8883,0.8883,0,-0.3615,"Random",0.3615
"Plant.Pathogen","Galactose",12,12.3374,0.5526,7424,0.7424,0,-0.337400000000001,"Random",0.337400000000001
"Plant.Pathogen","Lactose",1,1.3401,0.6424,8839,0.8839,0,-0.3401,"Random",0.3401
"Plant.Pathogen","Trehalose",14,14.0402,0.6534,6814,0.6814,0,-0.0402000000000005,"Random",0.0402000000000005
"Plant.Pathogen","Maltose",12,11.79,0.7135,5968,0.5968,0,0.210000000000001,"Random",0.210000000000001
"Plant.Pathogen","Melezitose",8,8.297,0.5748,7406,0.7406,0,-0.297000000000001,"Random",0.297000000000001
"Plant.Pathogen","Methyl-?-D-glucoside",10,9.7927,0.7285,6041,0.6041,0,0.2073,"Random",0.2073
"Plant.Pathogen","Soluble Starch",2,2.1605,0.6406,6965,0.6965,0,-0.1605,"Random",0.1605
"Plant.Pathogen","Cellobiose",15,14.2372,0.801,4400,0.44,0,0.7628,"Random",0.7628
"Plant.Pathogen","Salicin",15,14.2376,0.8011,4395,0.4395,0,0.7624,"Random",0.7624
"Plant.Pathogen","L-Sorbose",15,13.5577,0.9119,2735,0.2735,0,1.4423,"Random",1.4423
"Plant.Pathogen","L-Rhamnose",1,1.9853,0.3671,9295,0.9295,0,-0.9853,"Random",0.9853
"Plant.Pathogen","D-Xylose",12,12.7084,0.4409,8204,0.8204,0,-0.708399999999999,"Random",0.708399999999999
"Plant.Pathogen","L-Arabinose",3,4.1468,0.3242,9058,0.9058,0,-1.1468,"Random",1.1468
"Plant.Pathogen","D-Arabinose",3,3.7201,0.4529,8356,0.8356,0,-0.7201,"Random",0.7201
"Plant.Pathogen","D-Ribose",4,5.4465,0.2472,9407,0.9407,0,-1.4465,"Random",1.4465
"Plant.Pathogen","Methanol",0,0.5733,0.5536,10000,1,0,-0.5733,"Random",0.5733
"Plant.Pathogen","Ethanol",18,17.8249,0.7889,6676,0.6676,0,0.1751,"Random",0.1751
"Plant.Pathogen","Glycerol",17,17.2393,0.6269,8051,0.8051,0,-0.2393,"Random",0.2393
"Plant.Pathogen","Erythritol",2,3.0671,0.3353,9287,0.9287,0,-1.0671,"Random",1.0671
"Plant.Pathogen","Ribitol",10,10.7718,0.4267,8369,0.8369,0,-0.771800000000001,"Random",0.771800000000001
"Plant.Pathogen","Galactitol",0,0.5591,0.5671,10000,1,0,-0.5591,"Random",0.5591
"Plant.Pathogen","D-Mannitol",14,14.6492,0.4624,8659,0.8659,0,-0.6492,"Random",0.6492
"Plant.Pathogen","D-Glucitol",15,15.3805,0.5605,8133,0.8133,0,-0.3805,"Random",0.3805
"Plant.Pathogen","myo-Inositol",0,0.4991,0.6013,10000,1,0,-0.4991,"Random",0.4991
"Plant.Pathogen","DL-Lactate",11,10.3659,0.7548,4708,0.4708,0,0.6341,"Random",0.6341
"Plant.Pathogen","Succinate",17,16.8393,0.7418,6509,0.6509,0,0.160699999999999,"Random",0.160699999999999
"Plant.Pathogen","Citrate",9,10.3111,0.3063,8792,0.8792,0,-1.3111,"Random",1.3111
"Plant.Pathogen","D-Gluconate",12,11.963,0.6358,6232,0.6232,0,0.0370000000000008,"Random",0.0370000000000008
"Plant.Pathogen","D-Glucosamine",4,5.1508,0.3194,9047,0.9047,0,-1.1508,"Random",1.1508
"Plant.Pathogen","Nitrate",0,0.8999,0.3959,10000,1,0,-0.8999,"Random",0.8999
"Plant.Pathogen","Vitamin-free",2,2.2878,0.601,7633,0.7633,0,-0.2878,"Random",0.2878
"Plant.Pathogen","2-Keto-D-gluconate",11,10.2182,0.8006,4296,0.4296,0,0.7818,"Random",0.7818
"Plant.Pathogen","Starch formation",0,0.175,0.8362,10000,1,0,-0.175,"Random",0.175
"Plant.Pathogen","Growth at 19°C",22,21.9844,1,9844,0.9844,0,0.0155999999999992,"Random",0.0155999999999992
"Plant.Pathogen","Growth at 25°C",22,21.9813,1,9813,0.9813,0,0.0186999999999991,"Random",0.0186999999999991
"Plant.Pathogen","Growth at 30°C",22,21.5133,1,6070,0.607,0,0.486699999999999,"Random",0.486699999999999
"Plant.Pathogen","Growth at 37°C",10,9.3345,0.7708,4512,0.4512,0,0.6655,"Random",0.6655
"Animal","Glucose_F",78,78.8177,0.455,6829,0.6829,0,-0.817700000000002,"Random",0.817700000000002
"Animal","Galactose_F",33,35.1429,0.2826,8267,0.8267,0,-2.1429,"Random",2.1429
"Animal","Sucrose_F",35,34.5709,0.6369,5066,0.5066,0,0.429099999999998,"Random",0.429099999999998
"Animal","Maltose_F",23,24.1858,0.3857,7657,0.7657,0,-1.1858,"Random",1.1858
"Animal","Lactose_F",1,1.31,0.6844,9316,0.9316,0,-0.31,"Random",0.31
"Animal","Raffinose_F",25,24.1519,0.715,4363,0.4363,0,0.848099999999999,"Random",0.848099999999999
"Animal","Trehalose_F",32,33.6057,0.3434,7827,0.7827,0,-1.6057,"Random",1.6057
"Animal","Inulin",13,13.5397,0.5033,6978,0.6978,0,-0.5397,"Random",0.5397
"Animal","Sucrose",59,60.5214,0.3481,7719,0.7719,0,-1.5214,"Random",1.5214
"Animal","Raffinose",36,35.6256,0.6321,5117,0.5117,0,0.374400000000001,"Random",0.374400000000001
"Animal","Melibiose",15,16.0158,0.3957,7853,0.7853,0,-1.0158,"Random",1.0158
"Animal","Galactose",67,68.6365,0.3412,7739,0.7739,0,-1.6365,"Random",1.6365
"Animal","Lactose",16,16.5632,0.4936,7103,0.7103,0,-0.563199999999998,"Random",0.563199999999998
"Animal","Trehalose",70,70.6553,0.4774,6843,0.6843,0,-0.655299999999997,"Random",0.655299999999997
"Animal","Maltose",58,59.029,0.4219,7322,0.7322,0,-1.029,"Random",1.029
"Animal","Melezitose",52,51.8144,0.603,5474,0.5474,0,0.185600000000001,"Random",0.185600000000001
"Animal","Methyl-?-D-glucoside",53,53.1148,0.5603,5955,0.5955,0,-0.114800000000002,"Random",0.114800000000002
"Animal","Soluble Starch",34,32.0753,0.8438,2771,0.2771,0,1.9247,"Random",1.9247
