"","Trait_A","Trait_B","Observed","Expected","Percent","Count","Pvalue","Sig","Correction","Direction","TraitDiff","AbsDiff"
"341","Glucose_F","D-Glucitol",270,247.417,0.9982,29,0.0029,1,0.032712,"Negative",22.583,22.583
"3510","Glucose_F","myo-Inositol",608,573.2548,1,0,0,1,0,"Negative",34.7452,34.7452
"36","Glucose_F","DL-Lactate",279,288.6371,0.0434,9727,0.9727,0,1,"Random",-9.63709999999998,9.63709999999998
"37","Glucose_F","Succinate",492,500.6129,0.0219,9885,0.9885,0,1,"Random",-8.61290000000002,8.61290000000002
"38","Glucose_F","Citrate",381,388.7477,0.0688,9532,0.9532,0,1,"Random",-7.74770000000001,7.74770000000001
"39","Glucose_F","D-Gluconate",381,381.706,0.4763,5988,0.5988,0,1,"Random",-0.706000000000017,0.706000000000017
"40","Glucose_F","D-Glucosamine",275,264.4277,0.9939,106,0.0106,1,0.0919753846153846,"Random",10.5723,10.5723
"41","Glucose_F","Nitrate",75,82.0706,0.0288,9840,0.984,0,1,"Random",-7.0706,7.0706
"42","Glucose_F","Vitamin-free",83,92.152,0.0097,9948,0.9948,0,1,"Random",-9.152,9.152
"43","Glucose_F","2-Keto-D-gluconate",304,305.6743,0.4077,6699,0.6699,0,1,"Random",-1.67430000000002,1.67430000000002
"441","Glucose_F","Starch formation",621,603.01,1,0,0,1,0,"Negative",17.99,17.99
"45","Glucose_F","Growth at 19°C",604,603.8718,0.8729,7447,0.7447,0,1,"Random",0.128199999999993,0.128199999999993
"46","Glucose_F","Growth at 25°C",604,603.7722,0.8858,6835,0.6835,0,1,"Random",0.227800000000002,0.227800000000002
"47","Glucose_F","Growth at 30°C",578,575.971,0.8341,2757,0.2757,0,0.85432131147541,"Random",2.029,2.029
"48","Glucose_F","Growth at 37°C",269,275.2479,0.1373,9005,0.9005,0,1,"Random",-6.24790000000002,6.24790000000002
"51","Galactose_F","Sucrose_F",116,103.5016,0.9964,72,0.0072,1,0.06768,"Random",12.4984,12.4984
"52","Galactose_F","Maltose_F",109,92.3299,0.9999,1,1e-04,1,0.00191186440677966,"Positive",16.6701,16.6701
"53","Galactose_F","Lactose_F",10,7.2519,1,406,0.0406,1,0.238836734693878,"Random",2.7481,2.7481
"54","Galactose_F","Raffinose_F",70,60.9914,0.9867,215,0.0215,1,0.156464516129032,"Random",9.0086,9.0086
"55","Galactose_F","Trehalose_F",158,136.4732,1,0,0,1,0,"Positive",21.5268,21.5268
"56","Galactose_F","Inulin",35,38.6333,0.1893,8791,0.8791,0,1,"Random",-3.6333,3.6333
"57","Galactose_F","Sucrose",191,191.3358,0.5085,5722,0.5722,0,1,"Random",-0.335800000000006,0.335800000000006
"58","Galactose_F","Raffinose",100,99.2075,0.6015,4793,0.4793,0,1,"Random",0.792500000000004,0.792500000000004
"59","Galactose_F","Melibiose",51,51.4315,0.51,5982,0.5982,0,1,"Random",-0.4315,0.4315
"60","Galactose_F","Galactose",253,222.3255,1,0,0,1,0,"Positive",30.6745,30.6745
"61","Galactose_F","Lactose",56,54.9132,0.6624,4375,0.4375,0,1,"Random",1.0868,1.0868
"62","Galactose_F","Trehalose",222,217.5561,0.8715,1820,0.182,0,0.66871661237785,"Random",4.44390000000001,4.44390000000001
"63","Galactose_F","Maltose",186,188.688,0.3275,7418,0.7418,0,1,"Random",-2.68799999999999,2.68799999999999
"64","Galactose_F","Melezitose",152,157.2894,0.1793,8642,0.8642,0,1,"Random",-5.2894,5.2894
"65","Galactose_F","Methyl-?-D-glucoside",172,171.6883,0.561,5149,0.5149,0,1,"Random",0.311700000000002,0.311700000000002
"66","Galactose_F","Soluble Starch",69,76.4258,0.0528,9688,0.9688,0,1,"Random",-7.4258,7.4258
"67","Galactose_F","Cellobiose",176,187.6046,0.0118,9930,0.993,0,1,"Random",-11.6046,11.6046
"681","Galactose_F","Salicin",395,367.5912,0.9977,37,0.0037,1,0.0409176470588235,"Negative",27.4088,27.4088
"6910","Galactose_F","L-Sorbose",400,366.7946,0.9994,13,0.0013,1,0.0170511627906977,"Negative",33.2054,33.2054
"70","Galactose_F","L-Rhamnose",65,77.0704,0.0058,9973,0.9973,0,1,"Random",-12.0704,12.0704
"71","Galactose_F","D-Xylose",191,202.8086,0.006,9967,0.9967,0,1,"Random",-11.8086,11.8086
"72","Galactose_F","L-Arabinose",125,128.6685,0.2673,7980,0.798,0,1,"Random",-3.66849999999999,3.66849999999999
"73","Galactose_F","D-Arabinose",102,107.6163,0.1472,8968,0.8968,0,1,"Random",-5.6163,5.6163
"74","Galactose_F","D-Ribose",147,147.7451,0.4833,5951,0.5951,0,1,"Random",-0.745100000000008,0.745100000000008
"7510","Galactose_F","Methanol",299,279.149,0.9998,8,8e-04,1,0.0114227848101266,"Negative",19.851,19.851
"76","Galactose_F","Ethanol",221,229.9679,0.0097,9954,0.9954,0,1,"Random",-8.96789999999999,8.96789999999999
"77","Galactose_F","Glycerol",231,236.3362,0.0619,9678,0.9678,0,1,"Random",-5.33619999999999,5.33619999999999
"78","Galactose_F","Erythritol",99,104.2329,0.1624,8824,0.8824,0,1,"Random",-5.2329,5.2329
"79","Galactose_F","Ribitol",193,196.1136,0.2966,7727,0.7727,0,1,"Random",-3.11359999999999,3.11359999999999
"80","Galactose_F","Galactitol",48,50.359,0.2965,7915,0.7915,0,1,"Random",-2.359,2.359
"81","Galactose_F","D-Mannitol",217,225.7884,0.0141,9929,0.9929,0,1,"Random",-8.7884,8.7884
"821","Galactose_F","D-Glucitol",468,442.4946,0.9994,15,0.0015,1,0.0188,"Negative",25.5054,25.5054
"83","Galactose_F","myo-Inositol",24,30.951,0.021,9919,0.9919,0,1,"Random",-6.951,6.951
"84","Galactose_F","DL-Lactate",122,135.733,0.0092,9928,0.9928,0,1,"Random",-13.733,13.733
"85","Galactose_F","Succinate",213,222.7339,0.0102,9949,0.9949,0,1,"Random",-9.73390000000001,9.73390000000001
"865","Galactose_F","Citrate",402,373.5356,0.9979,44,0.0044,1,0.046385046728972,"Negative",28.4644,28.4644
"87","Galactose_F","D-Gluconate",175,181.5084,0.1208,9163,0.9163,0,1,"Random",-6.50839999999999,6.50839999999999
"88","Galactose_F","D-Glucosamine",154,146.257,0.9434,839,0.0839,0,0.385703225806452,"Random",7.74299999999999,7.74299999999999
"8910","Galactose_F","Nitrate",324,291.8102,1,0,0,1,0,"Negative",32.1898,32.1898
"90","Galactose_F","Vitamin-free",43,49.5632,0.0698,9561,0.9561,0,1,"Random",-6.5632,6.5632
"91","Galactose_F","2-Keto-D-gluconate",154,155.9269,0.3948,6801,0.6801,0,1,"Random",-1.92689999999999,1.92689999999999
"92","Galactose_F","Starch formation",0,4.4985,0.006,10000,1,0,1,"Random",-4.4985,4.4985
"93","Galactose_F","Growth at 19°C",255,254.8011,1,8109,0.8109,0,1,"Random",0.198900000000009,0.198900000000009
"94","Galactose_F","Growth at 25°C",255,254.7719,1,7869,0.7869,0,1,"Random",0.228100000000012,0.228100000000012
"95","Galactose_F","Growth at 30°C",247,246.1039,0.7174,4470,0.447,0,1,"Random",0.89609999999999,0.89609999999999
"96","Galactose_F","Growth at 37°C",115,129.1156,0.0063,9966,0.9966,0,1,"Random",-14.1156,14.1156
"100","Sucrose_F","Maltose_F",114,86.5781,1,0,0,1,0,"Positive",27.4219,27.4219
"101","Sucrose_F","Lactose_F",7,5.3032,0.95,1882,0.1882,0,0.680415384615385,"Random",1.6968,1.6968
"102","Sucrose_F","Raffinose_F",114,72.783,1,0,0,1,0,"Positive",41.217,41.217
"103","Sucrose_F","Trehalose_F",104,98.5895,0.8883,1538,0.1538,0,0.590473469387755,"Random",5.4105,5.4105
"104","Sucrose_F","Inulin",51,41.276,0.9982,49,0.0049,1,0.0516560747663551,"Random",9.724,9.724
"105","Sucrose_F","Sucrose",200,172.5355,1,0,0,1,0,"Positive",27.4645,27.4645
"106","Sucrose_F","Raffinose",136,103.0724,1,0,0,1,0,"Positive",32.9276,32.9276
"107","Sucrose_F","Melibiose",42,42.9265,0.4492,6542,0.6542,0,1,"Random",-0.926499999999997,0.926499999999997
"108","Sucrose_F","Galactose",150,156.4475,0.0976,9375,0.9375,0,1,"Random",-6.44749999999999,6.44749999999999
"109","Sucrose_F","Lactose",32,38.5339,0.0431,9784,0.9784,0,1,"Random",-6.5339,6.5339
"110","Sucrose_F","Trehalose",170,170.9052,0.4596,6438,0.6438,0,1,"Random",-0.905200000000008,0.905200000000008
"111","Sucrose_F","Maltose",166,158.5803,0.9579,667,0.0667,0,0.335882142857143,"Random",7.41970000000001,7.41970000000001
"112","Sucrose_F","Melezitose",144,136.5744,0.9469,800,0.08,0,0.381348953974895,"Random",7.4256,7.4256
"113","Sucrose_F","Methyl-?-D-glucoside",148,142.3489,0.8966,1470,0.147,0,0.57575,"Random",5.65110000000001,5.65110000000001
"114","Sucrose_F","Soluble Starch",60,64.5745,0.1659,8846,0.8846,0,1,"Random",-4.5745,4.5745
"1153","Sucrose_F","Cellobiose",415,389.4056,0.998,42,0.0042,1,0.0446943396226415,"Negative",25.5944,25.5944
"116","Sucrose_F","Salicin",136,148.7436,0.005,9972,0.9972,0,1,"Random",-12.7436,12.7436
"1171","Sucrose_F","L-Sorbose",430,388.1818,1,0,0,1,0,"Negative",41.8182,41.8182
"118","Sucrose_F","L-Rhamnose",57,65.3449,0.0387,9778,0.9778,0,1,"Random",-8.3449,8.3449
"11910","Sucrose_F","D-Xylose",479,435.0794,1,0,0,1,0,"Negative",43.9206,43.9206
"120","Sucrose_F","L-Arabinose",88,99.5224,0.01,9946,0.9946,0,1,"Random",-11.5224,11.5224
"1211","Sucrose_F","D-Arabinose",327,285.8562,1,0,0,1,0,"Negative",41.1438,41.1438
"1221","Sucrose_F","D-Ribose",351,316.527,0.9999,2,2e-04,1,0.0032695652173913,"Negative",34.473,34.473
"12310","Sucrose_F","Methanol",259,237.0352,1,0,0,1,0,"Negative",21.9648,21.9648
"124","Sucrose_F","Ethanol",180,185.698,0.0536,9727,0.9727,0,1,"Random",-5.69800000000001,5.69800000000001
"125","Sucrose_F","Glycerol",187,190.4143,0.146,9169,0.9169,0,1,"Random",-3.4143,3.4143
"1261","Sucrose_F","Erythritol",308,273.6766,1,2,2e-04,1,0.0032695652173913,"Negative",34.3234,34.3234
"1271","Sucrose_F","Ribitol",435,397.91,1,0,0,1,0,"Negative",37.09,37.09
"128","Sucrose_F","Galactitol",30,37.3011,0.0205,9900,0.99,0,1,"Random",-7.3011,7.3011
"129","Sucrose_F","D-Mannitol",176,182.639,0.0337,9834,0.9834,0,1,"Random",-6.63900000000001,6.63900000000001
"1301","Sucrose_F","D-Glucitol",494,474.043,0.9988,37,0.0037,1,0.0409176470588235,"Negative",19.957,19.957
"1311","Sucrose_F","myo-Inositol",248,228.7802,0.9998,10,0.001,1,0.0137560975609756,"Negative",19.2198,19.2198
"132","Sucrose_F","DL-Lactate",120,118.4569,0.6509,4255,0.4255,0,1,"Random",1.5431,1.5431
"13310","Sucrose_F","Succinate",527,500.9484,0.9999,3,3e-04,1,0.00457297297297297,"Negative",26.0516,26.0516
"134","Sucrose_F","Citrate",138,148.2911,0.0193,9888,0.9888,0,1,"Random",-10.2911,10.2911
"135","Sucrose_F","D-Gluconate",141,146.4967,0.1484,8978,0.8978,0,1,"Random",-5.4967,5.4967
"136","Sucrose_F","D-Glucosamine",91,102.7043,0.0129,9920,0.992,0,1,"Random",-11.7043,11.7043
"137","Sucrose_F","Nitrate",29,33.333,0.1614,8992,0.8992,0,1,"Random",-4.333,4.333
"138","Sucrose_F","Vitamin-free",46,46.0097,0.5482,5497,0.5497,0,1,"Random",-0.00970000000000226,0.00970000000000226
"139","Sucrose_F","2-Keto-D-gluconate",110,119.0998,0.0447,9723,0.9723,0,1,"Random",-9.0998,9.0998
"140","Sucrose_F","Starch formation",1,3.9734,0.067,9907,0.9907,0,1,"Random",-2.9734,2.9734
"141","Sucrose_F","Growth at 19°C",202,202.4829,0.4844,9673,0.9673,0,1,"Random",-0.482900000000001,0.482900000000001
"142","Sucrose_F","Growth at 25°C",202,202.4769,0.4816,9591,0.9591,0,1,"Random",-0.476900000000001,0.476900000000001
"143","Sucrose_F","Growth at 30°C",197,196.2559,0.7106,4701,0.4701,0,1,"Random",0.744100000000003,0.744100000000003
"144","Sucrose_F","Growth at 37°C",110,112.1588,0.3755,6932,0.6932,0,1,"Random",-2.1588,2.1588
"149","Maltose_F","Lactose_F",8,5.6227,0.9871,812,0.0812,0,0.38164,"Random",2.3773,2.3773
"150","Maltose_F","Raffinose_F",63,48.4421,1,0,0,1,0,"Positive",14.5579,14.5579
"151","Maltose_F","Trehalose_F",104,89.9834,0.9995,8,8e-04,1,0.0111407407407407,"Positive",14.0166,14.0166
"152","Maltose_F","Inulin",33,30.3491,0.8418,2496,0.2496,0,0.795335593220339,"Random",2.6509,2.6509
"153","Maltose_F","Sucrose",138,127.351,0.9987,28,0.0028,1,0.0332463157894737,"Positive",10.649,10.649
"154","Maltose_F","Raffinose",80,71.3211,0.9828,327,0.0327,1,0.208393220338983,"Random",8.6789,8.6789
"155","Maltose_F","Melibiose",33,33.9318,0.4546,6612,0.6612,0,1,"Random",-0.931800000000003,0.931800000000003
"156","Maltose_F","Galactose",129,126.7454,0.7643,3241,0.3241,0,0.957028272251309,"Random",2.2546,2.2546
"157","Maltose_F","Lactose",33,35.4263,0.2802,8144,0.8144,0,1,"Random",-2.4263,2.4263
"158","Maltose_F","Trehalose",138,134.9032,0.8623,2170,0.217,0,0.739995180722892,"Random",3.0968,3.0968
"159","Maltose_F","Maltose",150,132.5429,1,0,0,1,0,"Positive",17.4571,17.4571
"160","Maltose_F","Melezitose",115,108.5097,0.9523,795,0.0795,0,0.381348953974895,"Random",6.4903,6.4903
"161","Maltose_F","Methyl-?-D-glucoside",129,117.8665,0.9978,55,0.0055,1,0.0569174311926605,"Random",11.1335,11.1335
"162","Maltose_F","Soluble Starch",72,64.5912,0.9762,422,0.0422,1,0.241632487309645,"Random",7.4088,7.4088
"163","Maltose_F","Cellobiose",108,116.7197,0.0219,9884,0.9884,0,1,"Random",-8.7197,8.7197
"164","Maltose_F","Salicin",105,115.0837,0.0112,9935,0.9935,0,1,"Random",-10.0837,10.0837
"1651","Maltose_F","L-Sorbose",418,389.976,0.9992,14,0.0014,1,0.0177438202247191,"Negative",28.024,28.024
"1661","Maltose_F","L-Rhamnose",256,234.8182,0.9983,40,0.004,1,0.0433846153846154,"Negative",21.1818,21.1818
"16710","Maltose_F","D-Xylose",469,446.7796,0.9993,22,0.0022,1,0.0264,"Negative",22.2204,22.2204
"168","Maltose_F","L-Arabinose",74,80.7402,0.0739,9527,0.9527,0,1,"Random",-6.7402,6.7402
"169","Maltose_F","D-Arabinose",58,65.938,0.0389,9783,0.9783,0,1,"Random",-7.938,7.938
"170","Maltose_F","D-Ribose",88,92.1469,0.2016,8543,0.8543,0,1,"Random",-4.1469,4.1469
"1711","Maltose_F","Methanol",211,193.1308,1,2,2e-04,1,0.0032695652173913,"Negative",17.8692,17.8692
"172","Maltose_F","Ethanol",139,142.3647,0.1293,9294,0.9294,0,1,"Random",-3.3647,3.3647
"173","Maltose_F","Glycerol",144,145.341,0.3428,7955,0.7955,0,1,"Random",-1.34100000000001,1.34100000000001
"174","Maltose_F","Erythritol",57,64.4145,0.05,9696,0.9696,0,1,"Random",-7.4145,7.4145
"175","Maltose_F","Ribitol",120,122.5661,0.2955,7870,0.787,0,1,"Random",-2.56610000000001,2.56610000000001
"176","Maltose_F","Galactitol",28,31.6172,0.1607,9066,0.9066,0,1,"Random",-3.6172,3.6172
"177","Maltose_F","D-Mannitol",141,142.0798,0.4035,7270,0.727,0,1,"Random",-1.07980000000001,1.07980000000001
"178","Maltose_F","D-Glucitol",135,139.3331,0.0929,9504,0.9504,0,1,"Random",-4.3331,4.3331
"179","Maltose_F","myo-Inositol",17,21.322,0.0826,9621,0.9621,0,1,"Random",-4.322,4.322
"180","Maltose_F","DL-Lactate",78,87.116,0.037,9768,0.9768,0,1,"Random",-9.116,9.116
"181","Maltose_F","Succinate",127,135.6283,0.0049,9983,0.9983,0,1,"Random",-8.6283,8.6283
"182","Maltose_F","Citrate",113,117.8537,0.142,9059,0.9059,0,1,"Random",-4.8537,4.8537
"183","Maltose_F","D-Gluconate",115,116.445,0.4074,6771,0.6771,0,1,"Random",-1.44499999999999,1.44499999999999
"184","Maltose_F","D-Glucosamine",95,92.6298,0.7458,3354,0.3354,0,0.9776,"Random",2.3702,2.3702
"185","Maltose_F","Nitrate",17,23.6991,0.0345,9838,0.9838,0,1,"Random",-6.6991,6.6991
"186","Maltose_F","Vitamin-free",32,34.5357,0.2922,7942,0.7942,0,1,"Random",-2.5357,2.5357
"187","Maltose_F","2-Keto-D-gluconate",106,103.2463,0.7677,3069,0.3069,0,0.9231552,"Random",2.75369999999999,2.75369999999999
"188","Maltose_F","Starch formation",1,3.0958,0.1531,9689,0.9689,0,1,"Random",-2.0958,2.0958
"189","Maltose_F","Growth at 19°C",153,152.9038,1,9069,0.9069,0,1,"Random",0.0962000000000103,0.0962000000000103
"190","Maltose_F","Growth at 25°C",153,152.89,1,8945,0.8945,0,1,"Random",0.110000000000014,0.110000000000014
"191","Maltose_F","Growth at 30°C",150,149.1492,0.7756,4463,0.4463,0,1,"Random",0.850799999999992,0.850799999999992
"192","Maltose_F","Growth at 37°C",82,86.8223,0.176,8724,0.8724,0,1,"Random",-4.8223,4.8223
"198","Lactose_F","Raffinose_F",6,3.8995,0.9754,1137,0.1137,0,0.485252830188679,"Random",2.1005,2.1005
"199","Lactose_F","Trehalose_F",8,6.4098,0.9497,2074,0.2074,0,0.722059259259259,"Random",1.5902,1.5902
"200","Lactose_F","Inulin",3,2.2066,0.8818,3740,0.374,0,1,"Random",0.7934,0.7934
"201","Lactose_F","Sucrose",7,7.5204,0.4759,8124,0.8124,0,1,"Random",-0.5204,0.5204
"202","Lactose_F","Raffinose",7,5.4215,0.9404,2130,0.213,0,0.734752293577982,"Random",1.5785,1.5785
"203","Lactose_F","Melibiose",4,3.0383,0.8962,3373,0.3373,0,0.98060412371134,"Random",0.9617,0.9617
"204","Lactose_F","Galactose",10,8.9312,1,3203,0.3203,0,0.953293931398417,"Random",1.0688,1.0688
"205","Lactose_F","Lactose",6,4.1424,0.9698,1401,0.1401,0,0.566425806451613,"Random",1.8576,1.8576
"206","Lactose_F","Trehalose",9,8.8185,0.7549,6783,0.6783,0,1,"Random",0.1815,0.1815
"207","Lactose_F","Maltose",8,7.8686,0.6988,6477,0.6477,0,1,"Random",0.1314,0.1314
"208","Lactose_F","Melezitose",6,6.3768,0.5293,7540,0.754,0,1,"Random",-0.3768,0.3768
"209","Lactose_F","Methyl-?-D-glucoside",7,7.0768,0.6162,6942,0.6942,0,1,"Random",-0.0768000000000004,0.0768000000000004
"210","Lactose_F","Soluble Starch",3,3.2319,0.5968,7193,0.7193,0,1,"Random",-0.2319,0.2319
"211","Lactose_F","Cellobiose",9,8.4854,0.8335,5341,0.5341,0,1,"Random",0.5146,0.5146
"212","Lactose_F","Salicin",9,8.4688,0.8368,5293,0.5293,0,1,"Random",0.5312,0.5312
"213","Lactose_F","L-Sorbose",5,6.3785,0.2494,9259,0.9259,0,1,"Random",-1.3785,1.3785
"214","Lactose_F","L-Rhamnose",1,2.3963,0.2367,9686,0.9686,0,1,"Random",-1.3963,1.3963
"215","Lactose_F","D-Xylose",7,8.0795,0.2786,9296,0.9296,0,1,"Random",-1.0795,1.0795
"216","Lactose_F","L-Arabinose",5,5.3802,0.5402,7520,0.752,0,1,"Random",-0.3802,0.3802
"217","Lactose_F","D-Arabinose",4,4.4521,0.5218,7631,0.7631,0,1,"Random",-0.4521,0.4521
"218","Lactose_F","D-Ribose",6,6.2725,0.5621,7310,0.731,0,1,"Random",-0.2725,0.2725
"219","Lactose_F","Methanol",0,0.611,0.5288,10000,1,0,1,"Random",-0.611,0.611
"220","Lactose_F","Ethanol",10,9.6708,1,7167,0.7167,0,1,"Random",0.3292,0.3292
"221","Lactose_F","Glycerol",10,9.7356,1,7629,0.7629,0,1,"Random",0.2644,0.2644
"222","Lactose_F","Erythritol",4,4.4341,0.5326,7704,0.7704,0,1,"Random",-0.4341,0.4341
"223","Lactose_F","Ribitol",7,7.7685,0.3884,8654,0.8654,0,1,"Random",-0.7685,0.7685
"224","Lactose_F","Galactitol",2,2.0262,0.6958,6771,0.6771,0,1,"Random",-0.0261999999999998,0.0261999999999998
"225","Lactose_F","D-Mannitol",9,9.256,0.5807,8583,0.8583,0,1,"Random",-0.256,0.256
"226","Lactose_F","D-Glucitol",8,8.8774,0.3099,9396,0.9396,0,1,"Random",-0.8774,0.8774
"227","Lactose_F","myo-Inositol",1,1.1936,0.67,7675,0.7675,0,1,"Random",-0.1936,0.1936
"228","Lactose_F","DL-Lactate",4,5.0902,0.3449,8655,0.8655,0,1,"Random",-1.0902,1.0902
"229","Lactose_F","Succinate",9,9.2056,0.5985,8317,0.8317,0,1,"Random",-0.2056,0.2056
"230","Lactose_F","Citrate",5,6.7762,0.1654,9636,0.9636,0,1,"Random",-1.7762,1.7762
"231","Lactose_F","D-Gluconate",4,6.1748,0.1054,9787,0.9787,0,1,"Random",-2.1748,2.1748
"232","Lactose_F","D-Glucosamine",6,5.9689,0.6541,6472,0.6472,0,1,"Random",0.0311000000000003,0.0311000000000003
"233","Lactose_F","Nitrate",2,1.7255,0.7742,5539,0.5539,0,1,"Random",0.2745,0.2745
"234","Lactose_F","Vitamin-free",2,2.23,0.6291,7372,0.7372,0,1,"Random",-0.23,0.23
"235","Lactose_F","2-Keto-D-gluconate",7,6.7363,0.7166,5878,0.5878,0,1,"Random",0.2637,0.2637
"236","Lactose_F","Starch formation",0,0.1949,0.8204,10000,1,0,1,"Random",-0.1949,0.1949
"237","Lactose_F","Growth at 19°C",10,9.9927,1,9927,0.9927,0,1,"Random",0.00730000000000075,0.00730000000000075
"238","Lactose_F","Growth at 25°C",10,9.9935,1,9935,0.9935,0,1,"Random",0.00650000000000084,0.00650000000000084
"239","Lactose_F","Growth at 30°C",10,9.8195,1,8328,0.8328,0,1,"Random",0.1805,0.1805
"240","Lactose_F","Growth at 37°C",5,5.4037,0.5232,7330,0.733,0,1,"Random",-0.4037,0.4037
"247","Raffinose_F","Trehalose_F",52,53.7561,0.3821,7068,0.7068,0,1,"Random",-1.7561,1.7561
"248","Raffinose_F","Inulin",47,32.895,1,0,0,1,0,"Positive",14.105,14.105
"249","Raffinose_F","Sucrose",113,97.5593,1,0,0,1,0,"Positive",15.4407,15.4407
"250","Raffinose_F","Raffinose",114,75.323,1,0,0,1,0,"Positive",38.677,38.677
"251","Raffinose_F","Melibiose",36,32.0741,0.9135,1434,0.1434,0,0.569560563380282,"Random",3.9259,3.9259
"252","Raffinose_F","Galactose",83,89.0553,0.0738,9566,0.9566,0,1,"Random",-6.0553,6.0553
"253","Raffinose_F","Lactose",23,26.0711,0.204,8787,0.8787,0,1,"Random",-3.0711,3.0711
"254","Raffinose_F","Trehalose",94,96.9255,0.2306,8439,0.8439,0,1,"Random",-2.9255,2.9255
"255","Raffinose_F","Maltose",88,88.2922,0.5158,5859,0.5859,0,1,"Random",-0.292199999999994,0.292199999999994
"256","Raffinose_F","Melezitose",76,76.2758,0.5213,5778,0.5778,0,1,"Random",-0.275800000000004,0.275800000000004
"257","Raffinose_F","Methyl-?-D-glucoside",80,80.4843,0.5017,6014,0.6014,0,1,"Random",-0.484300000000005,0.484300000000005
"258","Raffinose_F","Soluble Starch",34,38.8036,0.1123,9327,0.9327,0,1,"Random",-4.8036,4.8036
"2591","Raffinose_F","Cellobiose",466,436.0906,1,0,0,1,0,"Negative",29.9094,29.9094
"2601","Raffinose_F","Salicin",466,436.074,1,3,3e-04,1,0.00457297297297297,"Negative",29.926,29.926
"2611","Raffinose_F","L-Sorbose",443,410.108,1,0,0,1,0,"Negative",32.892,32.892
